Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Pec Deck Fly,Chest,Isolation,Bilateral,Middle Chest,Front Delts,,,1,24-48 hours,Moderate,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Moderate,2-3 minutes,,,
Dumbbell Fly,Chest,Isolation,Bilateral,Middle Chest,Front Delts,,,1,24-48 hours,Low,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Incline Dumbbell Fly,Chest,Isolation,Bilateral,Upper Chest,Front Delts,,,1,24-48 hours,Low,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Incline Cable Fly,Chest,Isolation,Can Be Both,Upper Chest,Front Delts,,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Dumbbell Floor Press,Chest,Compound,Bilateral,"Middle Chest, Triceps",Front Delts,,,2,24-48 hours,High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,"Limits ROM, emphasizes triceps and lock-out",,
Dumbbell Floor Press (Neutral Grip),Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,,,2,24-48 hours,High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Mid Cable Fly,Chest,Isolation,Bilateral,Middle Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,Provides constant tension through the stretch,,
High-to-Low Cable Fly,Chest,Isolation,Bilateral,Lower Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
Low-to-High Cable Fly,Chest,Isolation,Bilateral,Upper Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
Plate-Loaded Incline Chest Press,Chest,Compound,Bilateral,Upper Chest,"Front Delts, Triceps",,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,Maximal tension yield with low injury risk,,
Machine Chest Press,Chest,Compound,Bilateral,Middle Chest,"Front Delts, Triceps",,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Close-Grip Push-Up,Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,Rectus Abdominis,,1,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Incline Push-Up,Chest,Compound,Bilateral,Lower Chest,"Front Delts, Triceps",Rectus Abdominis,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation,,
Close-Grip Incline Push-Up,Chest,Compound,Bilateral,"Triceps, Lower Chest",Front Delts,Rectus Abdominis,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Knee Push-Up,Chest,Compound,Bilateral,Middle Chest,"Front Delts, Triceps",,,1,24-48 hours,Low,Stable,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation,,
Close-Grip Knee Push-Up,Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,,,1,24-48 hours,Low,Stable,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Weighted Chest Dips,Chest,Compound,Bilateral,Lower Chest,"Front Delts, Triceps",Rectus Abdominis,,2,24-48 hours,High,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,High mechanical tension with external load,,
