Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
Underhand Grip Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Rear Delts",,2,48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3-4 minutes,
Behind The Neck Lat Pulldown,Back,Compound,Bilateral,"Lats, Rhomboids","Traps, Rear Delts",Biceps,,2,48 hours,Moderate,Stable,Good,Moderate,Yes,Balanced,Cable,No,High,3-4 minutes,High shoulder mobility required
"Lat Pulldown, Single Arm",Back,Compound,Unilateral,Lats,"Biceps, Rhomboids",Traps,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3-4 minutes,
Overhand Grip Plate Loaded Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Rear Delts",,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,
Neutral Grip Plate Loaded Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Traps,,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,
Underhand Grip Plate Loaded Lat Pulldown,Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Traps",,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,
"Neutral Grip Plate Loaded Lat Pulldown, Single Arm",Back,Compound,Unilateral,Lats,"Biceps, Rhomboids",Traps,,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,
"Underhand Grip Plate Loaded Lat Pulldown, Single Arm",Back,Compound,Unilateral,Lats,Biceps,"Rhomboids, Traps",,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,
Overhand Grip Pull Up,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,3,48 hours,Moderate,Moderate,Excellent,Good,Yes,Ascending,Bodyweight,No,Moderate,3-5 minutes,
"Overhand Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,4,48-72 hours,High,Moderate,Excellent,Good,Yes,Ascending,Free Weight,Minor,Moderate,3-5 minutes,
Wide Grip Pull Up,Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps","Rear Delts, Core",,3,48 hours,Moderate,Moderate,Excellent,Good,Yes,Ascending,Bodyweight,No,Moderate,3-5 minutes,
"Wide Grip Pull Up, Weighted",Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps","Rear Delts, Core",,4,48-72 hours,High,Moderate,Excellent,Good,Yes,Ascending,Free Weight,Minor,Moderate,3-5 minutes,
Neutral Grip Pull Up,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,3,48 hours,Moderate,Moderate,Excellent,Good,Yes,Ascending,Bodyweight,No,Moderate,3-5 minutes,
"Neutral Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,4,48-72 hours,High,Moderate,Excellent,Good,Yes,Ascending,Free Weight,Minor,Moderate,3-5 minutes,
Underhand Grip Pull Up,Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Core",,3,48 hours,Moderate,Moderate,Excellent,Good,Yes,Ascending,Bodyweight,No,Moderate,3-5 minutes,
"Underhand Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Core",,4,48-72 hours,High,Moderate,Excellent,Good,Yes,Ascending,Free Weight,Minor,Moderate,3-5 minutes,
"Machine Supported Pull Ups, Overhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Traps,,2,48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,Allows pushing closer to failure safely
"Machine Supported Pull Ups, Wide Grip",Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps",Rear Delts,,2,48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,
"Machine Supported Pull Ups, Neutral Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Traps,,2,48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,
"Overhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,2,48 hours,Low,Moderate,Good,Good,Yes,Ascending,Resistance Band,No,Low,3-4 minutes,
"Neutral Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Traps, Core",,2,48 hours,Low,Moderate,Good,Good,Yes,Ascending,Resistance Band,No,Low,3-4 minutes,
"Underhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Core",,2,48 hours,Low,Moderate,Good,Good,Yes,Ascending,Resistance Band,No,Low,3-4 minutes,
Human Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,"Triceps, Core",,2,48 hours,Low,Low,Moderate,Moderate,Yes,Ascending,Bodyweight,No,Moderate,2-4 minutes,
Flat Dumbbell Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,Triceps,,2,48 hours,Moderate,Stable,Good,Good,Yes,Ascending,Free Weight,No,Moderate,3-4 minutes,
Decline Dumbbell Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,Triceps,,2,48 hours,Moderate,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,3-4 minutes,Decline increases tension range
Standing Cable Pullover Bar,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,
Standing Cable Pullover Rope,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,Allows wider range of motion at bottom
"Standing Cable Pullover, Single Arm",Back,Isolation,Unilateral,Lats,,"Triceps, Rear Delts",,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,
