Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
Seated Dumbbell Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Upper Chest,,,1,24 hours,Moderate,Stable,Good,Excellent,No,Descending,Free Weight,No,Low,2-3 minutes,Eliminates momentum
Dumbbell Bent-Over Reverse Fly,Shoulders,Isolation,Bilateral,Rear Delts,Upper Traps,Rhomboids,,1,24 hours,Moderate,Low,Good,Moderate,No,Descending,Free Weight,No,Moderate,2-3 minutes,
Chest-Supported Dumbbell Reverse Fly,Shoulders,Isolation,Bilateral,Rear Delts,"Upper Traps, Rhomboids",,,1,24 hours,Moderate,Stable,Excellent,Excellent,No,Descending,Free Weight,No,Low,2-3 minutes,Highly stable for maximal mechanical tension
Pike Push-Up,Shoulders,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,3,48 hours,Low,Moderate,Good,Moderate,No,Ascending,Bodyweight,No,Moderate,2-4 minutes,
Pike Hold,Shoulders,Isometric,Bilateral,Front Delts,Triceps,Rectus Abdominis,,2,24-48 hours,Low,Moderate,Moderate,Moderate,No,Isometric,Bodyweight,No,Moderate,2-3 minutes,Good baseline progression for learning freestanding handstands
Dumbbell Floor Press,Chest,Compound,Bilateral,"Middle Chest, Triceps",Front Delts,,,2,48 hours,High,Stable,Good,Good,No,Ascending,Free Weight,No,Low,3-5 minutes,"Limits ROM, emphasizes triceps and lock-out"
Dumbbell Floor Press (Neutral Grip),Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,,,2,48 hours,High,Stable,Good,Good,No,Ascending,Free Weight,No,Low,3-5 minutes,
Mid Cable Fly,Chest,Isolation,Bilateral,Middle Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,Provides constant tension through the stretch
High-to-Low Cable Fly,Chest,Isolation,Bilateral,Lower Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,
Low-to-High Cable Fly,Chest,Isolation,Bilateral,Upper Chest,Front Delts,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,
Plate-Loaded Chest Press,Chest,Compound,Bilateral,Middle Chest,"Front Delts, Triceps",,,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,Maximal tension yield with low injury risk
Plate-Loaded Incline Chest Press,Chest,Compound,Bilateral,Upper Chest,"Front Delts, Triceps",,,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-5 minutes,Maximal tension yield with low injury risk
Machine Chest Press,Chest,Compound,Bilateral,Middle Chest,"Front Delts, Triceps",,,2,48 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-4 minutes,
Close-Grip Push-Up,Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,Rectus Abdominis,,2,24-48 hours,Low,Moderate,Good,Good,No,Ascending,Bodyweight,No,Low,2-3 minutes,
Incline Push-Up,Chest,Compound,Bilateral,Lower Chest,"Front Delts, Triceps",Rectus Abdominis,,1,24 hours,Low,Moderate,Low,Moderate,No,Ascending,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation
Close-Grip Incline Push-Up,Chest,Compound,Bilateral,"Triceps, Lower Chest",Front Delts,Rectus Abdominis,,1,24 hours,Low,Moderate,Low,Moderate,No,Ascending,Bodyweight,No,Low,2-3 minutes,
Knee Push-Up,Chest,Compound,Bilateral,Middle Chest,"Front Delts, Triceps",,,1,24 hours,Low,Stable,Low,Moderate,No,Ascending,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation
Close-Grip Knee Push-Up,Chest,Compound,Bilateral,"Triceps, Middle Chest",Front Delts,,,1,24 hours,Low,Stable,Low,Moderate,No,Ascending,Bodyweight,No,Low,2-3 minutes,
Weighted Chest Dips,Chest,Compound,Bilateral,Lower Chest,"Front Delts, Triceps",Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Good,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,High mechanical tension with external load
H Bar Skull Crusher,Arms,Isolation,Bilateral,Triceps,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Descending,Free Weight,No,Moderate,2-3 minutes,
H Bar Skull Crusher Behind Head,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Descending,Free Weight,No,Moderate,2-3 minutes,
Seated EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,
Standing EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,48 hours,High,Moderate,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,
Triceps Press Machine,Arms,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,
Bench Dips,Arms,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,Moderate,Moderate,Good,Moderate,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Seated Overhead Tricep Extensions With Bands,Arms,Isolation,Bilateral,Triceps,Triceps,,,1,24 hours,Low,Stable,Moderate,Good,Yes,Ascending,Resistance Band,No,Low,2-3 minutes,
TRX Tricep Extension,Arms,Isolation,Bilateral,Triceps,Rectus Abdominis,,,2,24-48 hours,Low,Moderate,Good,Moderate,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Dumbbell Tricep Kick Back Incline Prone,Arms,Isolation,Bilateral,Triceps,,,,1,24 hours,Moderate,Stable,Moderate,Moderate,Yes,Descending,Free Weight,No,Low,2-3 minutes,
Prone Tricep Kick Back Single Arm,Arms,Isolation,Unilateral,Triceps,,,,1,24 hours,Moderate,Stable,Moderate,Moderate,Yes,Descending,Free Weight,No,Low,2-3 minutes,
Dumbbell Hammer Preacher Curl,Arms,Isolation,Can Be Both,"Brachialis, Brachioradialis",Biceps,,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
H Bar Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
Overhand Grip Straight Bar Preacher Curl,Arms,Isolation,Bilateral,"Brachialis, Brachioradialis",Brachioradialis,,,2,24-48 hours,Moderate,Very Stable,Good,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,
Reverse Grip Bicep Curl With Bands,Arms,Isolation,Bilateral,"Brachioradialis, Brachialis",Biceps,,,1,24 hours,Low,Moderate,Moderate,Good,No,Ascending,Resistance Band,No,Low,2-3 minutes,
TRX Bicep Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,Brachioradialis,,2,24-48 hours,Low,Moderate,Moderate,Good,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Towel Bicep Curl,Arms,Isolation,Bilateral,Biceps,Wrist Flexors,,,2,24-48 hours,Moderate,Moderate,Good,Moderate,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Preacher Curl Machine,Arms,Isolation,Can Be Both,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,
Bicep Curl With Bands,Arms,Isolation,Bilateral,Biceps,Brachialis,,,1,24 hours,Low,Moderate,Moderate,Good,No,Ascending,Resistance Band,No,Low,2-3 minutes,
Concentration Curl,Arms,Isolation,Unilateral,Biceps,Brachialis,,,1,24 hours,Moderate,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
Barbell Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max",Spinal Erectors,Rectus Abdominis,,4,72 hours,Very High,Low,Good,Moderate,Yes,Ascending,Free Weight,Yes,High,3-5 minutes,High axial loading
Barbell Staggered Stance Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max","Spinal Erectors, Rectus Abdominis",,,3,48-72 hours,High,Moderate,Good,Good,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,
Kettlebell Swing,Legs,Compound,Bilateral,"Glute Max, Hamstrings",Spinal Erectors,Rectus Abdominis,,3,48 hours,Moderate,Low,Good,Moderate,No,Ballistic,Free Weight,No,High,2-3 minutes,Explosive movement
Smith Machine Staggered Stance Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max","Spinal Erectors, Rectus Abdominis",,,2,48 hours,High,Stable,Good,Excellent,Yes,Ascending,Machine,No,Low,3-4 minutes,
Seated Single Leg Curl Machine,Legs,Isolation,Unilateral,Hamstrings,,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,2-3 minutes,
Roman Chair Single Leg Back Extension,Legs,Isolation,Unilateral,"Hamstrings, Glute Max",Spinal Erectors,,,2,24-48 hours,Moderate,Stable,Excellent,Excellent,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,
Hamstring Sliders,Legs,Isolation,Bilateral,Hamstrings,Glute Max,Rectus Abdominis,,2,24-48 hours,Low,Moderate,Good,Good,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,
TRX Hamstring Sliders,Legs,Isolation,Bilateral,Hamstrings,Glute Max,Rectus Abdominis,,2,24-48 hours,Low,Moderate,Good,Good,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,
Barbell Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,3,48 hours,Very High,Stable,Excellent,Excellent,Partial,Ascending,Free Weight,No,Moderate,3-5 minutes,Bands increase peak tension
Dumbbell Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,Partial,Ascending,Free Weight,No,Moderate,3-5 minutes,
Dumbbell Glute Bridge,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,48 hours,Moderate,Stable,Good,Good,No,Ascending,Free Weight,No,Low,2-3 minutes,
Dumbbell Glute Bridge With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,48 hours,High,Stable,Good,Good,No,Ascending,Free Weight,No,Low,3-5 minutes,
Hip Thrust Machine,Legs,Compound,Bilateral,Glute Max,Hamstrings,,,2,48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3-4 minutes,Most stable hip thrust option
Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Rectus Abdominis,,,2,24-48 hours,Moderate,Moderate,Moderate,Good,Partial,Ascending,Resistance Band,No,Low,2-3 minutes,
Standing Cable Hip Extension,Legs,Isolation,Unilateral,Glute Max,Hamstrings,,,1,24 hours,Moderate,Stable,Excellent,Excellent,No,Balanced,Cable,No,Low,2-3 minutes,
Elevated Heel Goblet Squat With Constant Tension,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,Constant tension
Goblet Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,48 hours,Moderate,Moderate,Good,Moderate,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Goblet Bulgarian Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Ascending,Free Weight,No,High,3-5 minutes,
Dumbbell Bulgarian Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Ascending,Free Weight,No,High,3-5 minutes,
Barbell Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Good,Moderate,No,Ascending,Free Weight,Yes,High,3-5 minutes,
Front Rack Barbell Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Good,Moderate,No,Ascending,Free Weight,Yes,High,3-5 minutes,
Landmine Reverse Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,
Goblet Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,2,48 hours,Moderate,Stable,Good,Good,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Goblet Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,2,48 hours,Moderate,Stable,Good,Good,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Goblet Box Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,2,48 hours,Moderate,Very Stable,Good,Good,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Barbell Back Squat,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,72 hours,Very High,Stable,Excellent,Good,Yes,Ascending,Free Weight,Yes,High,3-5 minutes,
Barbell Back Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,4,72 hours,Very High,Stable,Excellent,Good,Yes,Ascending,Free Weight,Yes,High,3-5 minutes,
Barbell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,4,72 hours,High,Stable,Excellent,Good,Yes,Ascending,Free Weight,Yes,High,3-5 minutes,
Barbell Front Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,4,72 hours,High,Stable,Excellent,Good,Yes,Ascending,Free Weight,Yes,High,3-5 minutes,
Landmine Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,
Landmine Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,
Hack Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Yes,Ascending,Machine,No,Low,3-5 minutes,
Dumbbell Step Up,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,3-5 minutes,
Smith Machine Bulgarian Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,48 hours,High,Very Stable,Excellent,Excellent,Yes,Ascending,Machine,No,Moderate,3-5 minutes,
Smith Machine Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,48 hours,High,Very Stable,Good,Good,No,Ascending,Machine,No,Low,3-5 minutes,
Bodyweight Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,1,24 hours,Low,Moderate,Moderate,Moderate,No,Ascending,Bodyweight,No,Low,2 minutes,
Bodyweight Bulgarian Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,24-48 hours,Low,Moderate,Good,Good,Yes,Ascending,Bodyweight,No,Moderate,3 minutes,
Cossack Squat,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,2,48 hours,Moderate,Moderate,Good,Good,Yes,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Cossack Squat Weighted,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,2,48 hours,High,Moderate,Good,Good,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,
TRX Jump Squat,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Gastrocnemius,Rectus Abdominis,,3,48-72 hours,Low,Moderate,Moderate,Moderate,No,Ballistic,Bodyweight,No,Moderate,2-3 minutes,
TRX Jumping Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Low,Moderate,Moderate,Moderate,No,Ballistic,Bodyweight,No,Moderate,2-3 minutes,
Squat With Bands,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48 hours,High,Stable,Good,Good,No,Ascending,Resistance Band,No,Moderate,3-5 minutes,
Reverse Lunge With Bands,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48 hours,High,Stable,Good,Good,No,Ascending,Resistance Band,No,Moderate,3-5 minutes,
Kettlebell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,No,Ascending,Free Weight,No,Moderate,3-5 minutes,
Double Kettlebell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48 hours,High,Stable,Excellent,Excellent,No,Ascending,Free Weight,No,Moderate,3-5 minutes,
Kettlebell Reverse Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,48 hours,High,Stable,Excellent,Excellent,No,Ascending,Free Weight,No,Moderate,3-5 minutes,
Box Squat Single Leg,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,High,3-5 minutes,
Jump Squat,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Gastrocnemius,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,Good,Good,No,Ballistic,Bodyweight,No,Moderate,2-3 minutes,
Jumping Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,Good,Good,No,Ballistic,Bodyweight,No,Moderate,2-3 minutes,
Wall Squat,Legs,Isolation,Can Be Both,Quadriceps,Rectus Abdominis,,,1,24 hours,Low,Very Stable,Moderate,Good,No,Isometric,Bodyweight,No,Low,1-2 minutes,
TRX Pistol Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,Excellent,Excellent,Yes,Ascending,Bodyweight,No,High,3-5 minutes,
Smith Machine Standing Calf Raise,Legs,Isolation,Can Be Both,Gastrocnemius,,,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,2-3 minutes,
Calf Raise Machine,Legs,Isolation,Bilateral,Gastrocnemius,,,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,2-3 minutes,
Standing Calf Raise,Legs,Isolation,Can Be Both,Gastrocnemius,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Low,2-3 minutes,
Standing Calf Raise Weighted,Legs,Isolation,Bilateral,Gastrocnemius,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Low,2-3 minutes,
Adduction Machine,Legs,Isolation,Bilateral,Adductors,,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,2-3 minutes,
Single Leg Cable Adduction,Legs,Isolation,Unilateral,Adductors,,,,1,24-48 hours,Moderate,Stable,Good,Good,Yes,Balanced,Cable,No,Low,2-3 minutes,
Copenhagen Adduction,Legs,Isolation,Bilateral,Adductors,Rectus Abdominis,,,2,24-48 hours,Moderate,Moderate,Good,Good,Yes,Isometric,Bodyweight,No,Moderate,2-3 minutes,
Copenhagen Adduction Weighted,Legs,Isolation,Bilateral,Adductors,Rectus Abdominis,,,2,24-48 hours,High,Moderate,Good,Good,Yes,Isometric,Free Weight,No,Moderate,2-3 minutes,
