Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
Single Arm Dumbbell Row,Back,Compound,Unilateral,"Lats, Rhomboids","Biceps, Upper Traps",Rear Delts,,3,48-72 hours,Very High,Moderate,Excellent,Excellent,Yes,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,Great for deep stretch
Single Arm Landmine Row,Back,Compound,Unilateral,"Lats, Rhomboids","Biceps, Upper Traps",Rear Delts,,2,24-48 hours,High,Moderate,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,
"Chest Supported Barbell Row, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Upper Traps","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading
"Chest Supported Barbell Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading
Chest Supported Dumbbell Row,Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps",Rear Delts,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading
"Seated Cable Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Upper Traps,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3.5-5 minutes,
"Seated Cable Row, Wide Grip",Back,Compound,Bilateral,"Rear Delts, Rhomboids",Upper Traps,Biceps,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3.5-5 minutes,
"Selector Chest Supported Row Machine, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Upper Traps","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Selector Chest Supported Row Machine, Neutral Grip, Narrow",Back,Compound,Bilateral,Lats,"Rhomboids, Biceps",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Selector Chest Supported Row Machine, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Selector Chest Supported Row Machine, Wide Grip",Back,Compound,Bilateral,"Rear Delts, Rhomboids",Upper Traps,Biceps,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Selector Chest Supported Row Machine, Single Arm",Back,Compound,Unilateral,"Lats, Rhomboids","Biceps, Upper Traps",Rear Delts,,3,48-72 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Plate Loaded Chest Supported Row Machine, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Upper Traps","Rear Delts, Lats",Biceps,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Plate Loaded Chest Supported Row Machine, Overhand, Wide",Back,Compound,Can Be Both,"Rear Delts, Rhomboids",Upper Traps,Biceps,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Plate Loaded Chest Supported Row Machine, Neutral Grip, Narrow",Back,Compound,Can Be Both,Lats,"Rhomboids, Biceps",Upper Traps,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Plate Loaded Single Arm Chest Supported Row Machine, Overhand Grip, Narrow",Back,Compound,Unilateral,"Rhomboids, Lats","Upper Traps, Biceps",Rear Delts,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
"Inverted Row, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Upper Traps","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,
"Inverted Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,
Wide Grip Lat Pulldown,Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps","Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3.5-5 minutes,
Neutral Grip Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rear Delts",,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3.5-5 minutes,
Underhand Grip Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rear Delts",,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Low,3.5-5 minutes,
Behind The Neck Lat Pulldown,Back,Compound,Bilateral,"Lats, Rhomboids","Upper Traps, Rear Delts",Biceps,,3,48-72 hours,Moderate,Stable,High,Average,Yes,Balanced,Cable,No,High,3.5-5 minutes,High shoulder mobility required
Overhand Grip Plate Loaded Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rear Delts",,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
Neutral Grip Plate Loaded Lat Pulldown,Back,Compound,Can Be Both,Lats,"Biceps, Rhomboids",Upper Traps,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
Underhand Grip Plate Loaded Lat Pulldown,Back,Compound,Can Be Both,Lats,Biceps,"Rhomboids, Upper Traps",,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,3.5-5 minutes,
Wide Grip Pull Up,Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps","Rear Delts, Rectus Abdominis",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Bodyweight,No,Moderate,3.5-5 minutes,
"Wide Grip Pull Up, Weighted",Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps","Rear Delts, Rectus Abdominis",,3,48-72 hours,High,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,
Neutral Grip Pull Up,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Bodyweight,No,Moderate,3.5-5 minutes,
"Neutral Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,3,48-72 hours,High,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,
"Underhand Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Rectus Abdominis",,3,48-72 hours,High,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,
"Machine Supported Pull Ups, Overhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Upper Traps,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,Allows pushing closer to failure safely
"Machine Supported Pull Ups, Wide Grip",Back,Compound,Bilateral,"Lats, Teres Major","Rhomboids, Biceps",Rear Delts,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,
"Machine Supported Pull Ups, Neutral Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids",Upper Traps,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,
"Overhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,
"Neutral Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,
"Underhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Rectus Abdominis",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,
Human Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,"Triceps, Rectus Abdominis",,2,24-48 hours,Low,Unstable,Moderate,Average,Yes,Lengthened Bias,Bodyweight,No,Moderate,2-3 minutes,
Decline Dumbbell Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,Triceps,,3,48-72 hours,Moderate,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,Decline increases tension range
Standing Cable Pullover Bar,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,
Standing Cable Pullover Rope,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,Allows wider range of motion at bottom
"Standing Cable Pullover, Single Arm",Back,Isolation,Unilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,
