Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Smith Machine Hip Thrust,Legs,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,4,48-72 hours,Very High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Pendulum Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Hamstrings,,5,48-72 hours,Very High,Moderate,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Hack Squats Machine,Legs,Compound,Bilateral,Quadriceps,Glute Max,Hamstrings,,5,48-72 hours,Very High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,High,3-4 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Trap Bar Deadlift,Legs,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,5,72-120 hours,Very High,Moderate,High,Poor,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
Leg Press,Legs,Compound,Can Be Both,Quadriceps,Glute Max,Hamstrings,,3,48-72 hours,Very High,Moderate,Excellent,Good,No,Balanced,Machine,No,Moderate,3.5-5 minutes,,,
Single-Leg Dumbbell Hip Thrust,Legs,Compound,Unilateral,Glute Max,Hamstrings,Quadriceps,,4,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Dumbbell Lunge,Legs,Compound,Unilateral,Quadriceps,Glute Max,Hamstrings,,4,48-72 hours,Moderate,Highly Unstable,High,Poor,No,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Cable Kickbacks,Legs,Compound,Unilateral,Glute Max,Hamstrings,,,3,48-72 hours,Moderate,Stable,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Barbell Bulgarian Split Squat,Legs,Compound,Unilateral,Quadriceps,Glute Max,Hamstrings,,5,48-72 hours,Very High,Highly Unstable,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Sissy Squat,Legs,Isolation,Bilateral,Quadriceps,Hip Flexors:0.35,,,3,48-72 hours,Very High,Moderate,High,Average,Yes,Lengthened Bias,Free Weight,No,High,3-4 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Leg Press Calf Raise,Legs,Isolation,Bilateral,Calves,Soleus,,,1,24-48 hours,Very High,Moderate,Excellent,Good,No,Shortened Bias,Machine,No,Low,2 minutes,,,
Hack Squat Calf Raise,Legs,Isolation,Bilateral,Calves,Soleus,,,1,24-48 hours,Very High,Moderate,Excellent,Excellent,Partial,Shortened Bias,Machine,No,High,2 minutes,,,
Seated Calf Raise,Legs,Isolation,Bilateral,Soleus,Gastrocnemius,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Shortened Bias,Free Weight,No,Low,2 minutes,,,
Hack Machine One-Leg Calf Raise,Legs,Isolation,Unilateral,Calves,Soleus,,,1,24-48 hours,Very High,Very Stable,High,Excellent,No,Balanced,Machine,No,Low,2 minutes,,,
Lever Donkey Calf Raise,Legs,Isolation,Bilateral,Calves,Soleus,,,1,24-48 hours,High,Very Stable,High,Excellent,No,Shortened Bias,Machine,No,Low,2 minutes,,,
Lying Leg Curl,Legs,Isolation,Can Be Both,Hamstrings,Glute Max,Calves,,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Seated Leg Curl,Legs,Isolation,Can Be Both,Hamstrings,Glute Max,Calves,,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Leg Extension,Legs,Isolation,Can Be Both,Quadriceps,,,,1,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Machine,No,Low,2-3 minutes,,,
Barbell Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max",Spinal Erectors,Rectus Abdominis,,5,72-96 hours,Very High,Unstable,High,Average,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,High axial loading,,
Barbell Staggered Stance Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max","Spinal Erectors, Rectus Abdominis",,,5,72-96 hours,High,Moderate,High,Good,Yes,Lengthened Bias,Free Weight,Yes,Moderate,4-7 minutes,,,
Kettlebell Swing,Legs,Compound,Bilateral,"Glute Max, Hamstrings",Spinal Erectors,Rectus Abdominis,,3,48-72 hours,Moderate,Unstable,High,Average,No,Balanced,Free Weight,No,High,3-4 minutes,Explosive movement,,
Smith Machine Staggered Stance Good Morning,Legs,Compound,Bilateral,"Hamstrings, Glute Max","Spinal Erectors, Rectus Abdominis",,,4,72-96 hours,High,Stable,High,Excellent,Yes,Lengthened Bias,Machine,Yes,Low,4-6 minutes,,,
Roman Chair Single Leg Back Extension,Legs,Isolation,Unilateral,"Hamstrings, Glute Max",Spinal Erectors,,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Hamstring Sliders,Legs,Isolation,Bilateral,Hamstrings,Glute Max,Rectus Abdominis,,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
TRX Hamstring Sliders,Legs,Isolation,Bilateral,Hamstrings,Glute Max,Rectus Abdominis,,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Barbell Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,3,48-72 hours,Very High,Stable,Excellent,Excellent,Partial,Shortened Bias,Free Weight,No,Moderate,3-4 minutes,Bands increase peak tension,,
Dumbbell Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Partial,Shortened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Dumbbell Glute Bridge,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,24-48 hours,Moderate,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Glute Bridge With Bands,Legs,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,24-48 hours,High,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Hip Thrust Machine,Legs,Compound,Bilateral,Glute Max,Hamstrings,,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Shortened Bias,Machine,No,Low,2-3 minutes,Most stable hip thrust option,,
Hip Thrust With Bands,Legs,Compound,Bilateral,Glute Max,Rectus Abdominis,,,1,24-48 hours,Moderate,Moderate,Moderate,Good,Partial,Shortened Bias,Resistance Band,No,Low,2-3 minutes,,,
Standing Cable Hip Extension,Legs,Isolation,Unilateral,Glute Max,Hamstrings,,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,No,Balanced,Cable,No,Low,2-3 minutes,,,
Elevated Heel Goblet Squat With Constant Tension,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,Constant tension,,
Goblet Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,High,Average,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Goblet Bulgarian Split Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,High,4-6 minutes,,,
Dumbbell Bulgarian Split Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,High,4-6 minutes,,,
Barbell Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,High,Average,No,Lengthened Bias,Free Weight,Yes,High,4-6 minutes,,,
Front Rack Barbell Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,High,Average,No,Lengthened Bias,Free Weight,Yes,High,4-6 minutes,,,
Landmine Reverse Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Goblet Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48-72 hours,Moderate,Stable,High,Good,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Goblet Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,3,48-72 hours,Moderate,Stable,High,Good,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Goblet Box Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48-72 hours,Moderate,Very Stable,High,Good,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Barbell Back Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,5,48-72 hours,Very High,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Barbell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,5,48-72 hours,High,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Barbell Front Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,5,48-72 hours,High,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Landmine Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Landmine Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Hack Squat Wide Stance,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Yes,Lengthened Bias,Machine,No,Low,3-4 minutes,,,
Dumbbell Step Up,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Smith Machine Bulgarian Split Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Very Stable,Excellent,Excellent,Yes,Lengthened Bias,Machine,No,Moderate,4-6 minutes,,,
Smith Machine Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,24-48 hours,High,Very Stable,High,Good,No,Lengthened Bias,Machine,No,Low,2-3 minutes,,,
Bodyweight Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,1,24-48 hours,Low,Moderate,Moderate,Average,No,Lengthened Bias,Bodyweight,No,Low,2-3 minutes,,,
Bodyweight Bulgarian Split Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Low,Moderate,High,Good,Yes,Lengthened Bias,Bodyweight,No,Moderate,3-4 minutes,,,
Cossack Squat,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,1,24-48 hours,Moderate,Moderate,High,Good,Yes,Lengthened Bias,Bodyweight,No,Moderate,2-3 minutes,,,
Cossack Squat Weighted,Legs,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,3,48-72 hours,High,Moderate,High,Good,Yes,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
TRX Jump Squat,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Gastrocnemius,Rectus Abdominis,,3,48-72 hours,Low,Moderate,Moderate,Average,No,Balanced,Bodyweight,No,Moderate,3-4 minutes,,,
TRX Jumping Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Low,Moderate,Moderate,Average,No,Lengthened Bias,Bodyweight,No,Moderate,3-4 minutes,,,
Squat With Bands,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,1,24-48 hours,High,Stable,High,Good,No,Lengthened Bias,Resistance Band,No,Moderate,2-3 minutes,,,
Reverse Lunge With Bands,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,1,24-48 hours,High,Stable,High,Good,No,Lengthened Bias,Resistance Band,No,Moderate,2-3 minutes,,,
Kettlebell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,4,48-72 hours,High,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Moderate,4-6 minutes,,,
Double Kettlebell Front Squat,Legs,Compound,Bilateral,Quadriceps,Glute Max,Rectus Abdominis,,4,48-72 hours,High,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Moderate,4-6 minutes,,,
Kettlebell Reverse Lunge,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Box Squat Single Leg,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,High,3-4 minutes,,,
Jump Squat,Legs,Compound,Bilateral,"Quadriceps, Glute Max",Gastrocnemius,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,High,Good,No,Balanced,Bodyweight,No,Moderate,3-4 minutes,,,
Jumping Lunge,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,High,Good,No,Lengthened Bias,Bodyweight,No,Moderate,3-4 minutes,,,
Wall Squat,Legs,Isolation,Can Be Both,Quadriceps,Rectus Abdominis,,,1,24-48 hours,Low,Very Stable,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
TRX Pistol Squat,Legs,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,Moderate,Moderate,Excellent,Excellent,Yes,Balanced,Bodyweight,No,High,3-4 minutes,,,
Smith Machine Standing Calf Raise,Legs,Isolation,Can Be Both,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Low,2-3 minutes,,,
Calf Raise Machine,Legs,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Low,2-3 minutes,,,
Standing Calf Raise,Legs,Isolation,Can Be Both,Gastrocnemius,Soleus,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Standing Calf Raise Weighted,Legs,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Single Leg Cable Adduction,Legs,Isolation,Unilateral,Adductors,,,,1,24-48 hours,Moderate,Stable,High,Good,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
Copenhagen Adduction,Legs,Isolation,Bilateral,Adductors,Rectus Abdominis,,,1,24-48 hours,Moderate,Moderate,High,Good,Yes,Lengthened Bias,Bodyweight,No,Moderate,2-3 minutes,,,
Copenhagen Adduction Weighted,Legs,Isolation,Bilateral,Adductors,Rectus Abdominis,,,1,24-48 hours,High,Moderate,High,Good,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
