Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Weighted Roman Chair Back Extension,Back,Compound,Bilateral,Spinal Erectors,"Glute Max, Hamstrings",,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Lengthened Bias,Machine,No,Moderate,3-4 minutes,"Use a barbell across shoulders or hold a plate/dumbbell. Focus on spinal extension/flexion for erectors, or keep spine rigid to bias glutes/hamstrings.",,
Seated Cable Row,Back,Compound,Can Be Both,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Close Grip Cable Row,Back,Compound,Can Be Both,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Cable One Arm Lat Pulldown,Back,Isolation,Unilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,High,Stable,High,Good,No,Balanced,Cable,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
One Arm Cable Row,Back,Compound,Unilateral,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Braced Single Arm Cable Pulldown,Back,Compound,Unilateral,Lats,Biceps,Lower Traps,,2,48-72 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Moderate,2-3 minutes,Underhand/neutral grip with non-working hand bracing against a bench. Exceptional lat isolation.,,
Weighted Muscle-Up,Back,Hybrid,Bilateral,Lats,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,Low,Highly Unstable,Moderate,Poor,No,Balanced,Bodyweight,No,Very High,3.5-5 minutes,,,
Band Assisted Muscle-Up,Back,Hybrid,Bilateral,Lats,Biceps,"Rear Delts, Upper Traps",,2,24-48 hours,Low,Highly Unstable,Moderate,Poor,No,Balanced,Bodyweight,No,Very High,3-4 minutes,,,
"TRX Row, Neutral Grip",Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25","Rear Delts, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"TRX Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"TRX Row, Overhand Grip",Back,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Bent Over Row With Bands,Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Seated Row With Bands,Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
"Bent Over Barbell Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Spinal Erectors",,3,48-72 hours,Very High,Moderate,High,Average,No,Shortened Bias,Free Weight,No,High,3.5-5 minutes,High axial loading,,
T-Bar Row,Back,Compound,Bilateral,"Mid Back, Lats:0.5","Upper Traps:0.25, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,Very High,Moderate,Excellent,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,High mechanical tension,,
"Bent Over Dumbbell Row, Overhand Grip",Back,Compound,Bilateral,"Mid Back, Lats:0.5","Upper Traps:0.25, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
"Bent Over Dumbbell Row, Neutral Grip",Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,3,48-72 hours,High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
Kettlebell Bent Over Row,Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,3,48-72 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
Single Arm Dumbbell Row,Back,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,Very High,Moderate,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,Great for deep stretch,,
Single Arm Landmine Row,Back,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,2,24-48 hours,High,Moderate,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
"Chest Supported Barbell Row, Overhand Grip",Back,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Stable,Excellent,Good,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
"Chest Supported Barbell Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Stable,Excellent,Good,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
Chest Supported Dumbbell Row,Back,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
"Seated Cable Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Balanced,Cable,No,Low,3.5-5 minutes,,,
"Seated Cable Row, Wide Grip",Back,Compound,Bilateral,"Rear Delts, Mid Back",Upper Traps:0.25,Biceps,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Balanced,Cable,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Overhand Grip",Back,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Neutral Grip, Narrow",Back,Compound,Bilateral,Lats,"Mid Back, Biceps",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Wide Grip",Back,Compound,Bilateral,"Rear Delts, Mid Back",Upper Traps:0.25,Biceps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Single Arm",Back,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Inverted Row, Overhand Grip",Back,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"Inverted Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Wide Grip Lat Pulldown,Back,Compound,Bilateral,"Lats, Teres Major:0.5","Rhomboids:0.25, Biceps","Rear Delts, Upper Traps:0.125",,3,48-72 hours,High,Stable,Excellent,Good,Partial,Balanced,Cable,No,Low,3.5-5 minutes,,,
Neutral Grip Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rear Delts",,3,48-72 hours,High,Stable,Excellent,Good,Partial,Balanced,Cable,No,Low,3.5-5 minutes,,,
Underhand Grip Lat Pulldown,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rear Delts",,3,48-72 hours,High,Stable,Excellent,Good,Partial,Balanced,Cable,No,Low,3.5-5 minutes,,,
Behind The Neck Lat Pulldown,Back,Compound,Bilateral,"Lats, Rhomboids:0.5","Upper Traps:0.125, Rear Delts",Biceps,,3,48-72 hours,Moderate,Stable,High,Average,Partial,Balanced,Cable,No,High,3.5-5 minutes,High shoulder mobility required,,
Wide Grip Pull Up,Back,Compound,Bilateral,"Lats, Teres Major:0.5","Rhomboids:0.25, Biceps","Rear Delts, Rectus Abdominis:0.125",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Bodyweight,No,Moderate,3.5-5 minutes,,,
"Wide Grip Pull Up, Weighted",Back,Compound,Bilateral,"Lats, Teres Major:0.5","Rhomboids:0.25, Biceps","Rear Delts, Rectus Abdominis:0.125",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Neutral Grip Pull Up,Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rectus Abdominis:0.125",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Bodyweight,No,Moderate,3.5-5 minutes,,,
"Neutral Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rectus Abdominis:0.125",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
"Underhand Grip Pull Up, Weighted",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Rectus Abdominis:0.125",,3,48-72 hours,Moderate,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
"Machine Supported Pull Ups, Overhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25",Upper Traps:0.125,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,Allows pushing closer to failure safely,,
"Machine Supported Pull Ups, Wide Grip",Back,Compound,Bilateral,"Lats, Teres Major:0.5","Rhomboids:0.25, Biceps",Rear Delts,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,,,
"Machine Supported Pull Ups, Neutral Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25",Upper Traps:0.125,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Low,3-4 minutes,,,
"Overhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rectus Abdominis:0.125",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,,,
"Neutral Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Upper Traps:0.125, Rectus Abdominis:0.125",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,,,
"Underhand Grip Pull Up, With Band",Back,Compound,Bilateral,Lats,Biceps,"Rhomboids, Rectus Abdominis:0.125",,1,24-48 hours,Low,Moderate,High,Good,Yes,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Human Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,"Triceps, Rectus Abdominis",,2,24-48 hours,Low,Unstable,Moderate,Average,Yes,Lengthened Bias,Bodyweight,No,Moderate,2-3 minutes,,,
Decline Dumbbell Pullover,Back,Isolation,Bilateral,Lats,Lower Chest,Triceps,,3,48-72 hours,Moderate,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,Decline increases tension range,,
Standing Cable Pullover Bar,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
Standing Cable Pullover Rope,Back,Isolation,Bilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,Allows wider range of motion at bottom,,
"Standing Cable Pullover, Single Arm",Back,Isolation,Unilateral,Lats,,"Triceps, Rear Delts",,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
